nama_produk,harga,penjual,kota,rating_produk,jml_review
Shannen lipstik,Rp 99.000,dian,Bandung,4.5,6 ulasan
Wardah Lipstik Matte.  Lipstik Matte Wardah,Rp 40.000,Bunga Padi,Karawang,4.2,8 ulasan
Lipstik 3ce Set Mini Kit,Rp 26.900,Galeri Cantik Indonesia,Kab. Tangerang,4.7,21 ulasan
SHANNEN LIPSTIK CREAMY PAINT LIPCREAM SHANNEN,Rp 89.900,DSH SHOP,Bandung,5,2 ulasan
Shannen Lipstik l Shanen Creamy Lipt,Rp 100.000,Amalia Herbal,Tangerang,4.8,12 ulasan
lipstik looke,Rp 140.000,stokis nasa center priok,Jakarta Utara,5,1 ulasan
Bioaqua Lipstik velvet matte,Rp 26.500,Galeri Cantik Indonesia,Kab. Tangerang,4.8,4 ulasan
LIPSTIK NASA LC09 Coklat Muda,Rp 75.000,PRODUK NASA ORIGINAL,Jakarta Selatan,4.8,6 ulasan
LIPSTIK ALAMI NASA LC01,Rp 75.000,PRODUK NASA ORIGINAL,Jakarta Selatan,5,1 ulasan
Ilav Lipstik Original HWI,Rp 135.000,Asep Dwi HWI,Subang,5,8 ulasan
PROMO BUNDLING HEMAT LIPSTIK DAN PENSIL ALIS BROWN COKLAT,Rp 35.000,Nafiry Shop,Jakarta Barat,4.5,46 ulasan
PAKET CANTIK BUNDLING LIPSTIK LIP ON LIP MATTE REDISH DAN GIANT TISSUE WAJAH 200 SHEET,Rp 76.200,DENEI COLLECTION,Jakarta Pusat,4.7,27 ulasan
Matte Mate Lipstick Lip Stick Lipstik Y.O.U YOU Elly Hazel Calla Coco Anna Scarlet Candy Midnight Ruby Tahan Lama Long Lasting Original Murah,Rp 72.000,Beautilo,Jakarta Barat,5,17 ulasan
Matte Liquid Lipstick Lipstik Lip Stick Cair Madame Gie Lip Liquide Cream Tahan Lama Long Lasting Bagus Murah,Rp 50.000,Beautilo,Jakarta Barat,4.9,17 ulasan
Matte Lipstick Lipstik KISS PROOF No.04 Soft Matte Longlasting Tahan Lama by Menow Murah,Rp 10.000,Beautilo,Jakarta Barat,4.7,24 ulasan
